id,index,Event Date,Pref_days,pref_times,pref_topic
7574456170,27,2024-09-17, Thursdays, 6pm - 8pm, business theories and models
7574456170,27,2024-09-17, Thursdays, 6pm - 8pm, trends
7574456170,27,2024-09-17, Saturdays,2pm - 4pm,Experienced speakers
7574456170,27,2024-09-17, Saturdays,2pm - 4pm, business theories and models
7574456170,27,2024-09-17, Saturdays,2pm - 4pm, trends
7574456170,27,2024-09-17, Saturdays, 4pm - 6pm,Experienced speakers
7574456170,27,2024-09-17, Saturdays, 4pm - 6pm, business theories and models
7574456170,27,2024-09-17, Saturdays, 4pm - 6pm, trends
7574456170,27,2024-09-17, Saturdays, 6pm - 8pm,Experienced speakers
7574456170,27,2024-09-17, Saturdays, 6pm - 8pm, business theories and models
7574456170,27,2024-09-17, Saturdays, 6pm - 8pm, trends
7574458157,28,2024-09-17,Tuesdays,4pm - 6pm,Sales and personal growth
7574459758,29,2024-09-17,Tuesdays,4pm - 6pm,Networking
7574459758,29,2024-09-17, Wednesdays,4pm - 6pm,Networking
7574459758,29,2024-09-17, Thursdays,4pm - 6pm,Networking
7574498432,30,2024-09-17,Wednesdays,4pm - 6pm,nil
7574498432,30,2024-09-17, Thursdays,4pm - 6pm,nil
7574498432,30,2024-09-17, Fridays,4pm - 6pm,nil
7574499508,31,2024-09-17,Thursdays,2pm - 4pm,Networking
7574499508,31,2024-09-17,Thursdays,2pm - 4pm, ICT
7574499508,31,2024-09-17,Thursdays, 4pm - 6pm,Networking
7574499508,31,2024-09-17,Thursdays, 4pm - 6pm, ICT
7574499508,31,2024-09-17,Thursdays, 6pm - 8pm,Networking
7574499508,31,2024-09-17,Thursdays, 6pm - 8pm, ICT
7574499508,31,2024-09-17, Fridays,2pm - 4pm,Networking
7574499508,31,2024-09-17, Fridays,2pm - 4pm, ICT
7574499508,31,2024-09-17, Fridays, 4pm - 6pm,Networking
7574499508,31,2024-09-17, Fridays, 4pm - 6pm, ICT
7574499508,31,2024-09-17, Fridays, 6pm - 8pm,Networking
7574499508,31,2024-09-17, Fridays, 6pm - 8pm, ICT
7574500029,32,2024-09-17,Thursdays,4pm - 6pm,nil
7574500620,33,2024-09-17,Wednesdays,2pm - 4pm,nil
7574500620,33,2024-09-17,Wednesdays, 4pm - 6pm,nil
7574502084,34,2024-09-17,Tuesdays,2pm - 4pm,nil
